City;Pixels;Hex;Population
Bremen;4;5B5B5A;36630
Dresden;6;5B5B5B;61794
Hanover;2;5C5B5B;16816
Nuremberg;3;5C5C5B;28544
Wuppertal;1;5C5C5C;12000
M?nster;2;5D5C5C;17316
Mannheim;2;5D5D5C;18818
Augsburg;3;5D5D5D;26200
Aachen;2;5E5D5D;23699
Brunswick;3;5E5E5D;27600
Magdeburg;4;5E5E5E;36647
Mainz;3;5F5E5E;25251
L?beck;3;5F5F5E;31450
Erfurt;2;5F5F5F;16938
Kassel;2;605F5F;20000
Postdam;2;60605F;19619
Regensburg;2;606060;18933
W?rzburg;2;616060;19925
Zurich;1;616160;10000
Geneva;2;616161;21812
Basel;1;626161;13000
Bern;2;626261;20000
Innsbruck;1;626262;10000
Vienna;27;636262;271800
Graz;3;636362;32000
Linz;2;636363;17000
Salzburg;1;646363;11000
Instanbul;50;646463;500000
Moscow;27;646464;270184
London;101;656464;1011157
St. Petersburg;22;656564;220200
Kyiv;2;656565;19000
Minsk;1;666565;11000
Bratislava;3;666665;29600
Laibach;1;666666;10000
Sarajevo;4;676666;40000
Belgrade;3;676766;25000
Tirana;1;676767;12000
Thessaloniki;4;686767;40000
Heraklion;2;686867;15000
Bucharest;3;686868;30030
Cluj-Napoca;1;696868;10476
Ia?i;2;696968;16000
Budapest;6;696969;57100
Warsaw;6;6A6969;63400
Wroc?aw;5;6A6A69;50000
Szczecin;2;6A6A6A;21255
Danzig;4;6B6A6A;41072
Poznan;2;6B6B6A;18779
Krak?w;3;6B6B6B;30000
Elbl?g;2;6C6B6B;15768
Prague;8;6C6C6B;79000
Br?nn;2;6C6C6C;17043
Copenhagen;10;6D6C6C;100975
Bergen;2;6D6D6C;20000
Trondheim;1;6D6D6D;11315
Stockholm;8;6E6D6D;75800
Gothenburg;1;6E6E6D;13000
Birmingham;7;6E6E6E;73670
Leeds;9;6F6E6E;94421
Liverpool;8;6F6F6E;77000
Sheffield;6;6F6F6F;60095
Machester;25;706F6F;250000
Bristol;7;70706F;68944
Leicester;2;707070;20000
Coventry;2;717070;21853
Nottingham;3;717170;29000
Newcastle;3;717171;33322
Derby;1;727171;14695
Hull;2;727271;21280
Wolverhampton;2;727272;20710
Portsmouth;3;737272;32160
Norwich;4;737372;35633
Milton Keynes;2;737373;20000
Bolton;1;747373;12549
Oxford;11;747473;111977
Sunderland;3;747474;33887
Cambridge;1;757474;10087
York;2;757574;24080
Plymouth;5;757575;45845
Exeter;2;767575;19582
Winchester;3;767675;26555
Canterbury;2;767676;24702
Dover;3;777676;29198
Carlisle;3;777776;33953
Chester;2;777777;16140
Edinburgh;8;787777;82560
Glasgow;8;787877;77000
Aberdeen;3;787878;26992
Belfast;2;797878;22095
Dublin;30;797978;300345
Cork;6;797979;64394
K?nigsberg;6;7A7979;63869
Vilnius;3;7A7A79;31000
Riga;3;7A7A7A;29500
Tallinn;1;7B7A7A;12000
Kharkiv;1;7B7B7A;10742
Kazan;5;7B7B7B;53900
Nizhny Novgorod;1;7C7B7B;14400
Saratov;3;7C7C7B;27000
Yaroslav;2;7C7C7C;23800
Tula;5;7D7C7C;52100
Smolensk;1;7D7D7C;12400
Astrakhan;4;7D7D7D;37800
Tbilisi;7;7E7D7D;72000
Izmir;10;7E7E7D;100000
Bursa;5;7E7E7E;50000
Adana;5;7F7E7E;50000
Cairo;29;7F7F7E;290000
Baghdad;8;7F7F7F;80000
Damascus;8;807F7F;80000
Aleppo;25;80807F;250000
Tabriz;3;808080;30000
Tunis;8;818080;80000
Algiers;2;818181;20000
Fez;2;818181;20000
Ulm;2;828181;16000
Elvas;1;828281;12872
?vora;1;828282;11642
Covilh?;1;838282;6619
Tavira;1;838382;6835
Saumur;1;838383;12300
Granville;1;848383;6649
